x1,true_parent,family_0,family_1,family_2
10.225,0.48836974357251883,0.5049656059276681,0.4278139862370417,0.35066236654641514
10.3625,0.4676771560829909,0.48424766938148456,0.4102614580719879,0.336275246762491
10.5,0.42821685343564697,0.4436658596001474,0.3758799762295312,0.3080940928589149
10.6375,0.3689708304000672,0.38196256199259926,0.3236040718836085,0.26524558177461766
10.775,0.29690728229850577,0.3020664916379083,0.25591499377239235,0.20976349590687648
10.9125,0.22335886969114588,0.22724016272148906,0.1925210721400293,0.15780198155856956
11.05,0.15795044893098326,0.15992470208258705,0.13549046408820795,0.11105622609382883
11.1875,0.10553472398840695,0.10627002949110984,0.09003346841929656,0.07379690734748333
11.325,0.06679312929354358,0.06937432243062673,0.05877490481161903,0.04817548719261137
11.4625,0.040057877148518745,0.041312798750822645,0.035000786011413584,0.02868877327200452
11.6,0.022750045929703738,0.025073491065750853,0.021242615409442833,0.01741173975313482
11.7375,0.01222446840093468,0.014550419685824328,0.012327320859365788,0.010104222032907251
11.875,0.0062096651715288645,0.00734016707365245,0.006218693112090778,0.005097219150529105
12.0125,0.0029797632309657594,0.0032478615370143587,0.0027516341203941497,0.0022554067037739403
12.15,0.0013498980315510333,0.0016888879992474665,0.0014308497426049579,0.0011728114859624488
