x1,true_parent,family_0,family_1,family_2
10.225,0.42620945160619483,0.5205525900500658,0.40987299220621337,0.2991933943623609
10.3625,0.38882181248902387,0.47403978709951516,0.3732497151624729,0.27245964322543076
10.5,0.3426861471367549,0.42516914229671354,0.3347699192701025,0.24437069624349148
10.6375,0.29011548680610016,0.3589385392805861,0.2826212296800053,0.20630392007942444
10.775,0.23474699033218174,0.2909343245218086,0.22907603267477422,0.1672177408277398
10.9125,0.1807904040210685,0.22494301908764222,0.17711576134984525,0.12928850361204827
11.05,0.1320856097104057,0.1625597723846567,0.1279964053454272,0.0934330383061977
11.1875,0.091314048851367,0.10976574768149137,0.08642741637235546,0.06308908506321954
11.325,0.05962286713352333,0.06889853390906911,0.05424936652263199,0.03960019913619486
11.4625,0.03672111988359707,0.04240747655088048,0.0333908228257062,0.02437416910053189
11.6,0.02131446842991222,0.02470343046684739,0.0194510010261039,0.014198571585360415
11.7375,0.011653669521658387,0.01294893430319397,0.010195739201338589,0.007442544099483205
11.875,0.006000115044934054,0.007177993034216842,0.005651812207267763,0.004125631380318685
12.0125,0.0029088017969604676,0.003659743751814118,0.0028816111012333573,0.002103478450652595
12.15,0.001327751269692516,0.0015946021927436805,0.0012555587746774651,0.0009165153566112493
