design,resolution,depth,case,lambda,parent_n,observed_n,train_n,validation_n,region_D,parent_membership,membership_status,iterations,score,stopped,tail_feasible,invisible_initial,invisible_final,true_invisible,observed_law_TV,reference_RMSE,selected_oracle_RMSE,min_raw_ell_gain,Shat_0,Strue_0,Shat_1,Strue_1,Shat_2,Strue_2
coarse_d2,coarse,2,lambda0_N1600_r000,-3/4,1600,1137,556,581,463,True,included,35,6.820280970887301e-09,True,True,0.1111111111111111,0.11111111111111086,0.203125,0.04337273694325593,0.09170163912759519,0.22114058085964527,0.0,0.44599739955400375,0.5361328125,0.3428575800882623,0.435791015625,0.11111111111111086,0.203125
coarse_d2,coarse,2,lambda0_N1600_r001,-3/4,1600,1128,581,547,472,True,included,46,8.34724319924754e-09,True,True,0.1111111111111111,0.11111111111111115,0.203125,0.029263602002642226,0.08240287811847889,0.21610098555695842,-4.547473508864641e-13,0.46288711989265696,0.5361328125,0.35492559821656455,0.435791015625,0.11111111111111115,0.203125
coarse_d2,coarse,2,lambda0_N1600_r002,-3/4,1600,1125,579,546,475,True,included,35,9.760419440378124e-09,True,True,0.1111111111111111,0.11111111111111112,0.203125,0.030103761954012036,0.07644950863589114,0.20178082803468217,0.0,0.4782435816518293,0.5361328125,0.3601876868930057,0.435791015625,0.11111111111111112,0.203125
coarse_d2,coarse,2,lambda0_N1600_r003,-3/4,1600,1134,546,588,466,True,included,39,8.878700416464818e-09,True,True,0.1111111111111111,0.11111111111111138,0.203125,0.03229118100934307,0.07008806796271524,0.1920563129034695,-2.2737367544323206e-13,0.4910650550844504,0.5361328125,0.3706806991973016,0.435791015625,0.11111111111111138,0.203125
coarse_d2,coarse,2,lambda0_N1600_r004,-3/4,1600,1134,556,578,466,True,included,41,7.031276471111813e-09,True,True,0.1111111111111111,0.11111111111111115,0.203125,0.047891463327946915,0.0696692654201266,0.19982645628319975,-2.2737367544323206e-13,0.48619835276315754,0.5361328125,0.3757792366572589,0.435791015625,0.11111111111111115,0.203125
coarse_d2,coarse,2,lambda0_N1600_r005,-3/4,1600,1115,610,505,485,True,included,44,8.633625304861247e-09,True,True,0.1111111111111111,0.11111111111111173,0.203125,0.02505166950542473,0.06228770268875841,0.18905020632320635,0.0,0.502286973391984,0.5361328125,0.39076683161965564,0.435791015625,0.11111111111111173,0.203125
coarse_d2,coarse,2,lambda0_N1600_r006,-3/4,1600,1083,529,554,517,True,included,37,7.3686842941138365e-09,True,True,0.1111111111111111,0.11111111111111095,0.203125,0.04544271535236914,0.07650587681630436,0.2120270219550588,2.2737367544323206e-13,0.4667395647991234,0.5361328125,0.37038865337895743,0.435791015625,0.11111111111111095,0.203125
coarse_d2,coarse,2,lambda0_N1600_r007,-3/4,1600,1147,601,546,453,True,included,36,8.435789245869077e-09,True,True,0.1111111111111111,0.11111111111111122,0.203125,0.025626685753775035,0.07429300419680597,0.20250585441071206,2.2737367544323206e-13,0.47391951865421195,0.5361328125,0.3708194700210916,0.435791015625,0.11111111111111122,0.203125
coarse_d2,coarse,2,lambda0_N1600_r008,-3/4,1600,1091,550,541,509,True,included,49,8.329011594689272e-09,True,True,0.1111111111111111,0.11111111111111098,0.203125,0.024958550646399926,0.06209638092519015,0.1932952140227225,2.2737367544323206e-13,0.5012013768610193,0.5361328125,0.3924191280967647,0.435791015625,0.11111111111111098,0.203125
coarse_d2,coarse,2,lambda0_N1600_r009,-3/4,1600,1175,551,624,425,True,included,43,9.518169347157187e-09,True,True,0.1111111111111111,0.11111111111111105,0.203125,0.0269953904649109,0.07303921096329194,0.20738210044095942,0.0,0.4788764127338428,0.5361328125,0.37052748866099056,0.435791015625,0.11111111111111105,0.203125
